rank,star,status,status_datetime,officer_id,trr_id
OFFICER,17836,,2016-04-23 11:31:00 AM,,96628
SERGEANT,1764,,2016-04-23 11:32:00 AM,,96628
LIEUTENANT,743,,2016-04-23 11:39:00 AM,,96628
OFFICER,9871,,2016-04-23 01:59:00 PM,,96630
SERGEANT,1543,,2016-04-23 02:07:00 PM,,96630
LIEUTENANT,471,,2016-04-23 02:47:00 PM,,96630
OFFICER,19362,,2016-04-23 02:31:00 PM,,96631
SERGEANT,998,,2016-04-23 02:33:00 PM,,96631
LIEUTENANT,471,,2016-04-23 02:46:00 PM,,96631
OFFICER,9936,,2016-04-24 05:18:00 AM,,96632
SERGEANT,1154,,2016-04-24 05:20:00 AM,,96632
LIEUTENANT,199,,2016-04-24 06:52:00 AM,,96632
OFFICER,14411,,2016-04-24 01:39:00 PM,,96633
SERGEANT,1057,,2016-04-24 01:49:00 PM,,96633
LIEUTENANT,506,,2016-04-24 04:23:00 PM,,96633
OFFICER,19663,,2016-04-24 10:20:00 AM,,96634
SERGEANT,1337,,2016-04-24 10:24:00 AM,,96634
LIEUTENANT,310,,2016-04-24 10:35:00 AM,,96634
OFFICER,18326,,2016-04-24 11:42:00 AM,,96636
SERGEANT,1543,,2016-04-24 12:14:00 AM,,96636
